year,trifd,frs id,facility name,street address,city,county,st,zip,bia,tribe,latitude,longitude,horizontal datum,parent co name,parent co db num,standard parent co name,foreign parent co name,foreign parent co db num,standard foreign parent co name,federal facility,industry sector code,industry sector,primary sic,sic 2,sic 3,sic 4,sic 5,sic 6,primary naics,naics 2,naics 3,naics 4,naics 5,naics 6,doc_ctrl_num,chemical,elemental metal included,tri chemical/compound id,cas#,srs id,clean air act chemical,classification,metal,metal category,carcinogen,pbt,pfas,form type,unit of measure,5.1 - fugitive air,5.2 - stack air,5.3 - water,5.4 - underground,5.4.1 - underground cl i,5.4.2 - underground c ii-v,5.5.1 - landfills,5.5.1a - rcra c landfill,5.5.1b - other landfills,5.5.2 - land treatment,5.5.3 - surface impndmnt,5.5.3a - rcra surface im,5.5.3b - other surface i,5.5.4 - other disposal,on-site release total,6.1 - potw - trns rlse,6.1 - potw - trns trt,potw - total transfers,6.2 - m10,6.2 - m41,6.2 - m62,6.2 - m40 metal,6.2 - m61 metal,6.2 - m71,6.2 - m81,6.2 - m82,6.2 - m72,6.2 - m63,6.2 - m66,6.2 - m67,6.2 - m64,6.2 - m65,6.2 - m73,6.2 - m79,6.2 - m90,6.2 - m94,6.2 - m99,off-site release total,6.2 - m20,6.2 - m24,6.2 - m26,6.2 - m28,6.2 - m93,off-site recycled total,6.2 - m56,6.2 - m92,off-site energy recovery t,6.2 - m40 non-metal,6.2 - m50,6.2 - m54,6.2 - m61 non-metal,6.2 - m69,6.2 - m95,off-site treated total,6.2 - unclassified,6.2 - total transfer,total releases,8.1 - releases,8.1a - on-site contained,8.1b - on-site other,8.1c - off-site contain,8.1d - off-site other r,8.2 - energy recover on,8.3 - energy recover of,8.4 - recycling on site,8.5 - recycling off sit,8.6 - treatment on site,8.7 - treatment off site,production wste (8.1-8.7),8.8 - one-time release,prod_ratio_or_ activity,8.9 - production ratio
1987,05201JHNSNROUTE,110007329300,"JOHNSON CONTROLS INC, BATTERY GROUP",RTE 67A,BENNINGTON,BENNINGTON,VT,05201,,,42.896971,-73.206043,,JOHNSON CONTROLS INC,006092860,,,,,NO,335,Electrical Equipment,3691,,,,,,335911,,,,,,1387010657512,Lead,NO,0007439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,182.0000000000,1965.0000000000,250.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,2397.0000000000,45.0000000000,0E-10,45.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,572.0000000000,0E-10,0E-10,617.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,617.0000000000,3014.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-7,,,
1987,05301CBRDLQUINN,110039145092,CE BRADLEY LABORATORIES INC,55 BENNETT DR,BRATTLEBORO,WINDHAM,VT,05301,,,42.895916,-72.549929,,NA,,NA,NA,,NA,NO,325,Chemicals,2851,,,,,,325510,,,,,,1387010120448,Lead compounds,NO,N420,N420,650002,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,250.0000000000,250.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,250.0000000000,0E-10,0E-10,0E-10,0E-10,250.0000000000,0E-10,500.0000000000,250.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-7,,,
1987,05701GNRLL210CO,110000314909,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,,,43.607180,-72.992093,,GENERAL ELECTRIC CO (GE CO),001367960,GENERAL ELECTRIC CO (GE CO),NA,,NA,NO,336,Transportation Equipment,3724,,,,,,336412,,,,,,1387010528622,Lead,NO,0007439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0E-10,85.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,85.0000000000,488.0000000000,0E-10,488.0000000000,0E-10,0E-10,0E-10,76.0000000000,40.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,604.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,76.0000000000,0E-10,0E-10,40.0000000000,0E-10,0E-10,0E-10,0E-10,604.0000000000,689.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-7,,,
1987,05759GNRLL16WIN,,GE AEROSPACE PLANT 2,270 WINDCREST RD,NORTH CLARENDON,RUTLAND,VT,05759,,,43.577095,-72.961317,,GENERAL ELECTRIC CO (GE CO),001367960,GENERAL ELECTRIC CO (GE CO),NA,,NA,NO,336,Transportation Equipment,3724,,,,,,336412,,,,,,1387010528697,Lead,NO,0007439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0E-10,42.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,42.0000000000,139.0000000000,0E-10,139.0000000000,0E-10,0E-10,0E-10,1152.0000000000,155.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,1446.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,1152.0000000000,0E-10,0E-10,155.0000000000,0E-10,0E-10,0E-10,0E-10,1446.0000000000,1488.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-7,,,
1988,05201JHNSNROUTE,110007329300,"JOHNSON CONTROLS INC, BATTERY GROUP",RTE 67A,BENNINGTON,BENNINGTON,VT,05201,,,42.896971,-73.206043,,JOHNSON CONTROLS INC,006092860,,,,,NO,335,Electrical Equipment,3691,,,,,,335911,,,,,,1388025227531,Lead compounds,NO,N420,N420,650002,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,232.0000000000,1965.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,2197.0000000000,7.0000000000,0E-10,7.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,7.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,994.0000000000,1001.0000000000,2204.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-7,,,
1988,05701GNRLL210CO,110000314909,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,,,43.607180,-72.992093,,GENERAL ELECTRIC CO (GE CO),001367960,GENERAL ELECTRIC CO (GE CO),NA,,NA,NO,336,Transportation Equipment,3724,NA,,,,,336412,,,,,,1388025716541,Lead,NO,0007439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0E-10,85.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,85.0000000000,494.0000000000,0E-10,494.0000000000,0E-10,0E-10,0E-10,244.0000000000,6.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,744.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,244.0000000000,0E-10,0E-10,6.0000000000,0E-10,0E-10,0E-10,0E-10,744.0000000000,829.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-7,,,
1988,05759GNRLL16WIN,,GE AEROSPACE PLANT 2,270 WINDCREST RD,NORTH CLARENDON,RUTLAND,VT,05759,,,43.577095,-72.961317,,GENERAL ELECTRIC CO (GE CO),001367960,GENERAL ELECTRIC CO (GE CO),NA,,NA,NO,336,Transportation Equipment,3724,NA,,,,,336412,,,,,,1388025716477,Lead,NO,0007439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0E-10,42.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,42.0000000000,49.0000000000,0E-10,49.0000000000,0E-10,0E-10,0E-10,1012.0000000000,87.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,1148.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,1012.0000000000,0E-10,0E-10,87.0000000000,0E-10,0E-10,0E-10,0E-10,1148.0000000000,1190.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-7,,,
1989,05201JHNSNROUTE,110007329300,"JOHNSON CONTROLS INC, BATTERY GROUP",RTE 67A,BENNINGTON,BENNINGTON,VT,05201,,,42.896971,-73.206043,,JOHNSON CONTROLS INC,006092860,,,,,NO,335,Electrical Equipment,3691,NA,,,,,335911,,,,,,1389035131491,Lead compounds,NO,N420,N420,650002,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,292.0000000000,1527.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,1819.0000000000,4.0000000000,0E-10,4.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,108.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,112.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,794.0000000000,906.0000000000,1931.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-7,,,
1989,05701GNRLL210CO,110000314909,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,,,43.607180,-72.992093,,GENERAL ELECTRIC CO (GE CO),001367960,GENERAL ELECTRIC CO (GE CO),NA,,NA,NO,336,Transportation Equipment,3724,,,,,,336412,,,,,,1389035721543,Lead,NO,0007439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0E-10,85.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,85.0000000000,92.0000000000,0E-10,92.0000000000,0E-10,0E-10,0E-10,196.0000000000,30.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,318.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,196.0000000000,0E-10,0E-10,30.0000000000,0E-10,0E-10,0E-10,0E-10,318.0000000000,403.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-7,,,
1989,05759GNRLL16WIN,,GE AEROSPACE PLANT 2,270 WINDCREST RD,NORTH CLARENDON,RUTLAND,VT,05759,,,43.577095,-72.961317,,GENERAL ELECTRIC CO (GE CO),001367960,GENERAL ELECTRIC CO (GE CO),NA,,NA,NO,336,Transportation Equipment,3724,,,,,,336412,,,,,,1389035721644,Lead,NO,0007439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0E-10,42.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,42.0000000000,65.0000000000,0E-10,65.0000000000,0E-10,0E-10,0E-10,1298.0000000000,116.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,1479.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,1298.0000000000,0E-10,0E-10,116.0000000000,0E-10,0E-10,0E-10,0E-10,1479.0000000000,1521.0000000000,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-7,,,
