year,tri_facility_id,facility_name,street_address,city,county,state,zip,latitude,longitude,industry_sector,naics_code,chemical,cas_number,carcinogen,unit_of_measure,fugitive_air_releases,stack_air_releases,water_releases,landfill_releases,onsite_release_total,offsite_release_total,total_releases,parent_company
1987,05201JHNSNROUTE,"JOHNSON CONTROLS INC, BATTERY GROUP",RTE 67A,BENNINGTON,BENNINGTON,VT,05201,42.896971,-73.206043,Electrical Equipment,335911,Lead,7439-92-1,YES,Pounds,182,1965,250,0,2397,617,3014,JOHNSON CONTROLS INC
1987,05301CBRDLQUINN,CE BRADLEY LABORATORIES INC,55 BENNETT DR,BRATTLEBORO,WINDHAM,VT,05301,42.895916,-72.549929,Chemicals,325510,Lead compounds,N420,NO,Pounds,0,0,0,0,0,250,250,NA
1987,05701GNRLL210CO,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,43.607180,-72.992093,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,0,85,0,0,85,604,689,GENERAL ELECTRIC CO (GE CO)
1987,05759GNRLL16WIN,GE AEROSPACE PLANT 2,270 WINDCREST RD,NORTH CLARENDON,RUTLAND,VT,05759,43.577095,-72.961317,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,0,42,0,0,42,1446,1488,GENERAL ELECTRIC CO (GE CO)
1988,05201JHNSNROUTE,"JOHNSON CONTROLS INC, BATTERY GROUP",RTE 67A,BENNINGTON,BENNINGTON,VT,05201,42.896971,-73.206043,Electrical Equipment,335911,Lead compounds,N420,NO,Pounds,232,1965,0,0,2197,7,2204,JOHNSON CONTROLS INC
1988,05701GNRLL210CO,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,43.607180,-72.992093,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,0,85,0,0,85,744,829,GENERAL ELECTRIC CO (GE CO)
1988,05759GNRLL16WIN,GE AEROSPACE PLANT 2,270 WINDCREST RD,NORTH CLARENDON,RUTLAND,VT,05759,43.577095,-72.961317,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,0,42,0,0,42,1148,1190,GENERAL ELECTRIC CO (GE CO)
1989,05201JHNSNROUTE,"JOHNSON CONTROLS INC, BATTERY GROUP",RTE 67A,BENNINGTON,BENNINGTON,VT,05201,42.896971,-73.206043,Electrical Equipment,335911,Lead compounds,N420,NO,Pounds,292,1527,0,0,1819,112,1931,JOHNSON CONTROLS INC
1989,05701GNRLL210CO,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,43.607180,-72.992093,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,0,85,0,0,85,318,403,GENERAL ELECTRIC CO (GE CO)
1989,05759GNRLL16WIN,GE AEROSPACE PLANT 2,270 WINDCREST RD,NORTH CLARENDON,RUTLAND,VT,05759,43.577095,-72.961317,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,0,42,0,0,42,1479,1521,GENERAL ELECTRIC CO (GE CO)
1990,05201JHNSNROUTE,"JOHNSON CONTROLS INC, BATTERY GROUP",RTE 67A,BENNINGTON,BENNINGTON,VT,05201,42.896971,-73.206043,Electrical Equipment,335911,Lead compounds,N420,NO,Pounds,182,1503,0,0,1685,662,2347,JOHNSON CONTROLS INC
1990,05701GNRLL210CO,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,43.607180,-72.992093,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,5,93,0,0,98,6893,6991,GENERAL ELECTRIC CO (GE CO)
1990,05759GNRLL16WIN,GE AEROSPACE PLANT 2,270 WINDCREST RD,NORTH CLARENDON,RUTLAND,VT,05759,43.577095,-72.961317,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,11,93,0,0,104,4564,4668,GENERAL ELECTRIC CO (GE CO)
1991,05201JHNSNROUTE,"JOHNSON CONTROLS INC, BATTERY GROUP",RTE 67A,BENNINGTON,BENNINGTON,VT,05201,42.896971,-73.206043,Electrical Equipment,335911,Lead compounds,N420,NO,Pounds,182,802,0,0,984,2776,3760,JOHNSON CONTROLS INC
1991,05701GNRLL210CO,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,43.607180,-72.992093,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,5,2,0,0,7,6845,6852,GENERAL ELECTRIC CO (GE CO)
1991,05759GNRLL16WIN,GE AEROSPACE PLANT 2,270 WINDCREST RD,NORTH CLARENDON,RUTLAND,VT,05759,43.577095,-72.961317,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,5,85,0,0,90,4544,4634,GENERAL ELECTRIC CO (GE CO)
1992,05201JHNSNROUTE,"JOHNSON CONTROLS INC, BATTERY GROUP",RTE 67A,BENNINGTON,BENNINGTON,VT,05201,42.896971,-73.206043,Electrical Equipment,335911,Lead compounds,N420,NO,Pounds,250,750,0,0,1000,5,1005,JOHNSON CONTROLS INC
1992,05452BMXXX1000R,GLOBALFOUNDRIES U.S. 2 LLC - VERMONT FACILITY,1000 RIVER ST,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.478553,-73.102850,Computers and Electronic Products,334413,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,11000,11000,GLOBALFOUNDRIES US INC
1992,05701GNRLL210CO,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,43.607180,-72.992093,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,5,2,0,0,7,613,620,GENERAL ELECTRIC CO (GE CO)
1992,05759GNRLL16WIN,GE AEROSPACE PLANT 2,270 WINDCREST RD,NORTH CLARENDON,RUTLAND,VT,05759,43.577095,-72.961317,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,5,5,0,0,10,3115,3125,GENERAL ELECTRIC CO (GE CO)
1993,05201JHNSNROUTE,"JOHNSON CONTROLS INC, BATTERY GROUP",RTE 67A,BENNINGTON,BENNINGTON,VT,05201,42.896971,-73.206043,Electrical Equipment,335911,Lead compounds,N420,NO,Pounds,92,750,0,0,842,4,846,JOHNSON CONTROLS INC
1993,05446CHMPLHERCU,CHAMPLAIN CABLE CORP,175 HERCULES DR,COLCHESTER,CHITTENDEN,VT,05446,44.510721,-73.175691,Electrical Equipment,335929,Lead compounds,N420,NO,Pounds,0,0,0,0,0,250,250,NA
1993,05452BMXXX1000R,GLOBALFOUNDRIES U.S. 2 LLC - VERMONT FACILITY,1000 RIVER ST,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.478553,-73.102850,Computers and Electronic Products,334413,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,6200,6200,GLOBALFOUNDRIES US INC
